CaseID,train_test,Group,Dup_Stat,OriginDBName,DateOfCaseObserved,Species,DiseaseChosenByUser,ANAEMIA / PALLOR (PALE MEMBRANES),ANOREXIA / (LOSS OF APPETITE),ATAIXA / INCORDINATION OF MOVEMENT,DIARRHOEA,DYSENTERY (BLOOD IN FAECES),DYSPNOEA / COUGHING (DIFFICULTY BREATHING),LYMPH NODE ENLARGEMENT,OCCULAR / NASAL DISCHARGE,PYREXIA / FEVER,STARING COAT (STANDING HAIR / ROUGH COAT),STUNTED GROWTH,WEAKNESS,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION),CONSTIPATION,DEHYDRATION,ICTERUS (YELLOWING OF MEMBRANES),SUBMANDIBULAR / VENTRAL OEDEMA,APATHY / DEPRESSION,ANAEMIA / PALLOR (PALE MEMBRANES)_Absent,ANAEMIA / PALLOR (PALE MEMBRANES)_Present,ANAEMIA / PALLOR (PALE MEMBRANES)_Unknown,ANOREXIA / (LOSS OF APPETITE)_Absent,ANOREXIA / (LOSS OF APPETITE)_Present,ANOREXIA / (LOSS OF APPETITE)_Unknown,ATAIXA / INCORDINATION OF MOVEMENT_Absent,ATAIXA / INCORDINATION OF MOVEMENT_Present,ATAIXA / INCORDINATION OF MOVEMENT_Unknown,DIARRHOEA_Absent,DIARRHOEA_Present,DIARRHOEA_Unknown,DYSENTERY (BLOOD IN FAECES)_Absent,DYSENTERY (BLOOD IN FAECES)_Present,DYSENTERY (BLOOD IN FAECES)_Unknown,DYSPNOEA / COUGHING (DIFFICULTY BREATHING)_Absent,DYSPNOEA / COUGHING (DIFFICULTY BREATHING)_Present,DYSPNOEA / COUGHING (DIFFICULTY BREATHING)_Unknown,LYMPH NODE ENLARGEMENT_Absent,LYMPH NODE ENLARGEMENT_Present,LYMPH NODE ENLARGEMENT_Unknown,OCCULAR / NASAL DISCHARGE_Absent,OCCULAR / NASAL DISCHARGE_Present,OCCULAR / NASAL DISCHARGE_Unknown,PYREXIA / FEVER_Absent,PYREXIA / FEVER_Present,PYREXIA / FEVER_Unknown,STARING COAT (STANDING HAIR / ROUGH COAT)_Absent,STARING COAT (STANDING HAIR / ROUGH COAT)_Present,STARING COAT (STANDING HAIR / ROUGH COAT)_Unknown,STUNTED GROWTH_Absent,STUNTED GROWTH_Present,STUNTED GROWTH_Unknown,WEAKNESS_Absent,WEAKNESS_Present,WEAKNESS_Unknown,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION)_Absent,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION)_Present,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION)_Unknown,CONSTIPATION_Absent,CONSTIPATION_Present,CONSTIPATION_Unknown,DEHYDRATION_Absent,DEHYDRATION_Present,DEHYDRATION_Unknown,ICTERUS (YELLOWING OF MEMBRANES)_Absent,ICTERUS (YELLOWING OF MEMBRANES)_Present,ICTERUS (YELLOWING OF MEMBRANES)_Unknown,SUBMANDIBULAR / VENTRAL OEDEMA_Absent,SUBMANDIBULAR / VENTRAL OEDEMA_Present,SUBMANDIBULAR / VENTRAL OEDEMA_Unknown,APATHY / DEPRESSION_Absent,APATHY / DEPRESSION_Present,APATHY / DEPRESSION_Unknown,DiseaseChosenByUser.1,Target_num,Target_name,Disease_1,Disease_2,Disease_3,Disease_4,Disease_5,Disease_6,Disease_7,Disease_8,Disease_9,Disease_10,Disease_11,Disease_12,Disease_13,Prob_1,Prob_2,Prob_3,Prob_4,Prob_5,Prob_6,Prob_7,Prob_8,Prob_9,Prob_10,Prob_11,Prob_12,Prob_13,sum_prob
1185,0,0,U,Eddie,3/12/2019 0:00, GOAT,BRUCELLOSIS,NP,P,NP,NP,NP,NP,NP,NP,P,NO,NP,NP,NP,NP,NP,NP,NP,P,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,BRUCELLOSIS,1,BRUCELLOSIS,CONTAGIOUS ECTHYMA (ORF),MASTITIS,BRUCELLOSIS,POX,COWDRIOSIS,CCPP,MANGE MITE,PASTEUROLLOSIS,HYPOCALCEMIA / PREGNANCY TOX.,TRICHOSTRONGIULOSIS,LUNGWORM,PPR,ZZ_OTHER,40.54,31.44,12.4,8.68,6.18,0.26,0.26,0.11,0.08,0.04,0.01,0.0,0.0,100.0
1794,0,0,U,Eddie,3/19/2019 0:00, GOAT,CCPP,NP,P,NP,NP,NP,P,NP,P,NP,NP,NP,P,P,NP,NP,NP,NP,P,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,CCPP,2,CCPP,CCPP,LUNGWORM,POX,PASTEUROLLOSIS,PPR,HYPOCALCEMIA / PREGNANCY TOX.,TRICHOSTRONGIULOSIS,CONTAGIOUS ECTHYMA (ORF),BRUCELLOSIS,MASTITIS,COWDRIOSIS,MANGE MITE,ZZ_OTHER,74.82,14.77,7.82,1.55,0.82,0.1,0.07,0.03,0.01,0.01,0.0,0.0,0.0,100.0
3918,1,33,M,veteddie_eddie,12/2/2019 0:00, GOAT,CONTAGIOUS ECTHYMA (ORF),NP,P,NP,NP,NP,NP,NP,NP,P,NP,NP,P,NP,NP,NP,NP,NP,P,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,CONTAGIOUS ECTHYMA (ORF),3,CONTAGIOUS ECTHYMA (ORF),MASTITIS,COWDRIOSIS,CONTAGIOUS ECTHYMA (ORF),POX,BRUCELLOSIS,HYPOCALCEMIA / PREGNANCY TOX.,CCPP,PASTEUROLLOSIS,TRICHOSTRONGIULOSIS,MANGE MITE,PPR,LUNGWORM,ZZ_OTHER,28.1223,20.0142,18.5556,11.904,11.874,7.88298,1.2679,0.182298,0.112342,0.0559851,0.0156109,0.0128442,2.92e-14,100.0000602
5783,1,0,U,veteddie_eddie,7/15/2020 0:00, GOAT,CONTAGIOUS ECTHYMA (ORF),NP,NP,NP,NP,NP,NP,NP,P,P,NP,NP,NP,NP,NP,NP,NP,NP,P,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,CONTAGIOUS ECTHYMA (ORF),3,CONTAGIOUS ECTHYMA (ORF),CONTAGIOUS ECTHYMA (ORF),MASTITIS,POX,BRUCELLOSIS,CCPP,PASTEUROLLOSIS,LUNGWORM,COWDRIOSIS,PPR,TRICHOSTRONGIULOSIS,MANGE MITE,HYPOCALCEMIA / PREGNANCY TOX.,ZZ_OTHER,48.1857,20.2577,14.9103,8.0856,3.63791,3.48691,1.13711,0.221551,0.0517051,0.0130857,0.0115422,0.000882157,1.26e-12,99.99999616
1098,0,0,U,Eddie,3/4/2019 0:00, GOAT,CONTAGIOUS ECTHYMA (ORF),NP,P,P,NP,NP,NP,NP,NP,NP,NP,P,P,P,P,NP,NP,NP,P,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,CONTAGIOUS ECTHYMA (ORF),3,CONTAGIOUS ECTHYMA (ORF),HYPOCALCEMIA / PREGNANCY TOX.,COWDRIOSIS,TRICHOSTRONGIULOSIS,MANGE MITE,BRUCELLOSIS,CONTAGIOUS ECTHYMA (ORF),POX,CCPP,MASTITIS,LUNGWORM,PASTEUROLLOSIS,PPR,ZZ_OTHER,86.15,8.68,3.92,0.48,0.24,0.19,0.12,0.1,0.1,0.02,0.0,0.0,0.0,100.0
2679,0,0,U,Eddie,11/19/2019 0:00, GOAT,CONTAGIOUS ECTHYMA (ORF),NP,P,NP,NP,NP,P,P,NP,P,NP,NP,P,NP,NP,NP,NP,NP,NP,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,CONTAGIOUS ECTHYMA (ORF),3,CONTAGIOUS ECTHYMA (ORF),POX,CCPP,MASTITIS,PASTEUROLLOSIS,CONTAGIOUS ECTHYMA (ORF),COWDRIOSIS,BRUCELLOSIS,LUNGWORM,HYPOCALCEMIA / PREGNANCY TOX.,TRICHOSTRONGIULOSIS,MANGE MITE,PPR,ZZ_OTHER,71.25,8.61,6.88,6.44,4.18,1.5,0.62,0.37,0.08,0.03,0.01,0.01,0.0,99.98
3452,0,0,U,veteddie_eddie,3/13/2020 0:00, GOAT,COWDRIOSIS,P,P,P,NP,NP,NP,NP,NP,P,P,NP,P,P,NP,NP,NP,NP,P,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,COWDRIOSIS,4,COWDRIOSIS,COWDRIOSIS,POX,CCPP,MANGE MITE,MASTITIS,TRICHOSTRONGIULOSIS,PPR,HYPOCALCEMIA / PREGNANCY TOX.,BRUCELLOSIS,PASTEUROLLOSIS,CONTAGIOUS ECTHYMA (ORF),LUNGWORM,ZZ_OTHER,98.5487,1.24657,0.0757296,0.0613875,0.0171114,0.0164359,0.0124929,0.0115799,0.00516393,0.00230245,0.00230176,0.00024156,1.8e-10,100.0000169
47,0,0,U,Eddie,12/11/2018 0:00, GOAT,HYPOCALCEMIA / PREGNANCY TOX.,NP,P,P,NP,NP,NP,P,NP,NP,NP,NP,P,P,P,NP,NP,NP,P,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,HYPOCALCEMIA / PREGNANCY TOX.,5,HYPOCALCEMIA / PREGNANCY TOX.,HYPOCALCEMIA / PREGNANCY TOX.,COWDRIOSIS,POX,MASTITIS,CONTAGIOUS ECTHYMA (ORF),TRICHOSTRONGIULOSIS,MANGE MITE,BRUCELLOSIS,CCPP,LUNGWORM,PASTEUROLLOSIS,PPR,ZZ_OTHER,52.64,43.88,1.52,1.01,0.5,0.29,0.08,0.06,0.02,0.0,0.0,0.0,0.0,100.0
2269,0,0,U,Eddie,8/28/2019 0:00, GOAT,LUNGWORM,NO,P,NO,P,NO,NO,NO,NO,NO,P,NO,NO,NO,NO,NO,NO,NO,P,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,LUNGWORM,6,LUNGWORM,PPR,ZZ_OTHER,PASTEUROLLOSIS,TRICHOSTRONGIULOSIS,CCPP,POX,COWDRIOSIS,MANGE MITE,HYPOCALCEMIA / PREGNANCY TOX.,CONTAGIOUS ECTHYMA (ORF),MASTITIS,LUNGWORM,BRUCELLOSIS,49.21,22.79,16.62,3.63,3.62,2.77,0.99,0.1,0.08,0.07,0.07,0.04,0.01,100.0
2772,0,0,U,veteddie_eddie,2/16/2020 0:00, GOAT,LUNGWORM,NP,NP,NP,NP,NP,P,NP,NP,NP,NP,NP,NP,P,NP,NP,NP,NP,NP,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,LUNGWORM,6,LUNGWORM,LUNGWORM,BRUCELLOSIS,MASTITIS,TRICHOSTRONGIULOSIS,CONTAGIOUS ECTHYMA (ORF),CCPP,MANGE MITE,POX,PASTEUROLLOSIS,COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,PPR,ZZ_OTHER,84.3317,7.24613,2.19349,2.07772,1.77411,1.41378,0.793326,0.16619,0.00278197,0.000492842,0.000209683,9.46e-05,7.87e-14,100.0000251
