CaseID,train_test,Group,Dup_Stat,OriginDBName,DateOfCaseObserved,Species,DiseaseChosenByUser,ANAEMIA / PALLOR (PALE MEMBRANES),ANOREXIA / (LOSS OF APPETITE),ATAIXA / INCORDINATION OF MOVEMENT,DIARRHOEA,DYSENTERY (BLOOD IN FAECES),DYSPNOEA / COUGHING (DIFFICULTY BREATHING),LYMPH NODE ENLARGEMENT,OCCULAR / NASAL DISCHARGE,PYREXIA / FEVER,STARING COAT (STANDING HAIR / ROUGH COAT),STUNTED GROWTH,WEAKNESS,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION),CONSTIPATION,DEHYDRATION,ICTERUS (YELLOWING OF MEMBRANES),SUBMANDIBULAR / VENTRAL OEDEMA,APATHY / DEPRESSION,ANAEMIA / PALLOR (PALE MEMBRANES)_Absent,ANAEMIA / PALLOR (PALE MEMBRANES)_Present,ANAEMIA / PALLOR (PALE MEMBRANES)_Unknown,ANOREXIA / (LOSS OF APPETITE)_Absent,ANOREXIA / (LOSS OF APPETITE)_Present,ANOREXIA / (LOSS OF APPETITE)_Unknown,ATAIXA / INCORDINATION OF MOVEMENT_Absent,ATAIXA / INCORDINATION OF MOVEMENT_Present,ATAIXA / INCORDINATION OF MOVEMENT_Unknown,DIARRHOEA_Absent,DIARRHOEA_Present,DIARRHOEA_Unknown,DYSENTERY (BLOOD IN FAECES)_Absent,DYSENTERY (BLOOD IN FAECES)_Present,DYSENTERY (BLOOD IN FAECES)_Unknown,DYSPNOEA / COUGHING (DIFFICULTY BREATHING)_Absent,DYSPNOEA / COUGHING (DIFFICULTY BREATHING)_Present,DYSPNOEA / COUGHING (DIFFICULTY BREATHING)_Unknown,LYMPH NODE ENLARGEMENT_Absent,LYMPH NODE ENLARGEMENT_Present,LYMPH NODE ENLARGEMENT_Unknown,OCCULAR / NASAL DISCHARGE_Absent,OCCULAR / NASAL DISCHARGE_Present,OCCULAR / NASAL DISCHARGE_Unknown,PYREXIA / FEVER_Absent,PYREXIA / FEVER_Present,PYREXIA / FEVER_Unknown,STARING COAT (STANDING HAIR / ROUGH COAT)_Absent,STARING COAT (STANDING HAIR / ROUGH COAT)_Present,STARING COAT (STANDING HAIR / ROUGH COAT)_Unknown,STUNTED GROWTH_Absent,STUNTED GROWTH_Present,STUNTED GROWTH_Unknown,WEAKNESS_Absent,WEAKNESS_Present,WEAKNESS_Unknown,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION)_Absent,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION)_Present,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION)_Unknown,CONSTIPATION_Absent,CONSTIPATION_Present,CONSTIPATION_Unknown,DEHYDRATION_Absent,DEHYDRATION_Present,DEHYDRATION_Unknown,ICTERUS (YELLOWING OF MEMBRANES)_Absent,ICTERUS (YELLOWING OF MEMBRANES)_Present,ICTERUS (YELLOWING OF MEMBRANES)_Unknown,SUBMANDIBULAR / VENTRAL OEDEMA_Absent,SUBMANDIBULAR / VENTRAL OEDEMA_Present,SUBMANDIBULAR / VENTRAL OEDEMA_Unknown,APATHY / DEPRESSION_Absent,APATHY / DEPRESSION_Present,APATHY / DEPRESSION_Unknown,DiseaseChosenByUser.1,Target_Num,Target_Name,Disease_1,Disease_2,Disease_3,Disease_4,Disease_5,Disease_6,Disease_7,Disease_8,Disease_9,Disease_10,Disease_11,Disease_12,Disease_13,Disease_14,Disease_1.1,Disease_2.1,Disease_3.1,Disease_4.1,Disease_5.1,Disease_6.1,Disease_7.1,Disease_8.1,Disease_9.1,Disease_10.1,Disease_11.1,Disease_12.1,Disease_13.1,Disease_14.1,sum_prob
1291,0,121,M,Eddie,3/6/2019 0:00, SHEEP,COENUROSIS,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,P,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,COENUROSIS,1,COENUROSIS,CONTAGIOUS ECTHYMA (ORF),COENUROSIS,NASAL BOT,TRICHOSTRONGIULOSIS,MANGE MITE,HAEMONCHOSIS,LUNGWORM,POX,HYPOCALCEMIA / PREGNANCY TOX.,FASCIOLOSIS,PASTEUROLLOSIS,COWDRIOSIS,PPR,ZZ_OTHER,65.02,22.64,10.63,0.51,0.49,0.23,0.19,0.18,0.05,0.03,0.02,0.01,0.0,0.0,100.0
971,0,0,U,Eddie,2/18/2019 0:00, SHEEP,COENUROSIS,NP,NP,P,NP,NP,NP,NP,NP,P,NP,NP,NP,NP,NP,NP,NP,NP,P,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,COENUROSIS,1,COENUROSIS,COWDRIOSIS,COENUROSIS,CONTAGIOUS ECTHYMA (ORF),POX,PASTEUROLLOSIS,HYPOCALCEMIA / PREGNANCY TOX.,NASAL BOT,LUNGWORM,FASCIOLOSIS,HAEMONCHOSIS,MANGE MITE,PPR,TRICHOSTRONGIULOSIS,ZZ_OTHER,54.9,43.11,1.56,0.18,0.1,0.09,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,99.99
4346,1,0,U,veteddie_eddie,1/16/2020 0:00, SHEEP,COENUROSIS,NP,NP,P,NP,NP,NP,NP,NP,NP,NP,NP,P,NP,NP,NP,NP,NP,P,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,COENUROSIS,1,COENUROSIS,COENUROSIS,HYPOCALCEMIA / PREGNANCY TOX.,CONTAGIOUS ECTHYMA (ORF),MANGE MITE,NASAL BOT,TRICHOSTRONGIULOSIS,LUNGWORM,PASTEUROLLOSIS,HAEMONCHOSIS,COWDRIOSIS,FASCIOLOSIS,POX,PPR,ZZ_OTHER,96.0524,3.89556,0.0194974,0.0073122,0.00555695,0.00501426,0.00418946,0.00267441,0.00259096,0.00229715,0.00192425,0.000997457,1.85e-06,3.18e-15,100.0000163
4080,1,85,M,veteddie_eddie,2/1/2020 0:00, SHEEP,CONTAGIOUS ECTHYMA (ORF),NP,P,NP,NP,NP,NP,P,P,P,P,NP,NP,NP,NP,NP,NP,NP,P,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,CONTAGIOUS ECTHYMA (ORF),2,CONTAGIOUS ECTHYMA (ORF),POX,COWDRIOSIS,PASTEUROLLOSIS,CONTAGIOUS ECTHYMA (ORF),LUNGWORM,NASAL BOT,PPR,MANGE MITE,TRICHOSTRONGIULOSIS,FASCIOLOSIS,HAEMONCHOSIS,COENUROSIS,HYPOCALCEMIA / PREGNANCY TOX.,ZZ_OTHER,93.3926,3.78942,2.69936,0.0781729,0.0359171,0.00193379,0.00192706,0.000453091,6.67e-05,6.21e-05,2.95e-05,6.26e-06,2.36e-06,1.63e-10,99.99995086
4325,0,0,U,veteddie_eddie,1/15/2020 0:00, SHEEP,CONTAGIOUS ECTHYMA (ORF),NP,NP,NP,NP,NP,NP,NP,NP,P,NP,NP,P,P,NP,NP,NP,NP,P,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,CONTAGIOUS ECTHYMA (ORF),2,CONTAGIOUS ECTHYMA (ORF),POX,PASTEUROLLOSIS,COENUROSIS,LUNGWORM,CONTAGIOUS ECTHYMA (ORF),MANGE MITE,HAEMONCHOSIS,TRICHOSTRONGIULOSIS,FASCIOLOSIS,HYPOCALCEMIA / PREGNANCY TOX.,PPR,NASAL BOT,COWDRIOSIS,ZZ_OTHER,36.7239,30.8266,19.1689,5.87381,2.90227,1.22409,0.959098,0.951971,0.784807,0.185881,0.182978,0.174321,0.0413335,5.14e-13,99.9999595
2767,1,0,U,veteddie_eddie,2/14/2020 0:00, SHEEP,COWDRIOSIS,NP,NP,NP,NP,NP,NP,NP,NP,P,P,NP,NP,NP,NP,NP,NP,NP,P,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,COWDRIOSIS,3,COWDRIOSIS,COWDRIOSIS,POX,CONTAGIOUS ECTHYMA (ORF),MANGE MITE,PASTEUROLLOSIS,LUNGWORM,COENUROSIS,TRICHOSTRONGIULOSIS,NASAL BOT,HAEMONCHOSIS,FASCIOLOSIS,HYPOCALCEMIA / PREGNANCY TOX.,PPR,ZZ_OTHER,56.0543,24.5777,13.6785,3.53847,0.81609,0.661603,0.248805,0.165006,0.116833,0.113081,0.028895,0.000537373,0.000137795,1.86e-12,99.99995817
1005,0,50,D,Eddie,2/20/2019 0:00, SHEEP,FASCIOLOSIS,P,NP,NP,NP,NP,NP,NP,NP,NP,P,NP,P,P,NP,NP,NP,P,P,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,FASCIOLOSIS,4,FASCIOLOSIS,HAEMONCHOSIS,FASCIOLOSIS,TRICHOSTRONGIULOSIS,LUNGWORM,MANGE MITE,COENUROSIS,CONTAGIOUS ECTHYMA (ORF),COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,NASAL BOT,PASTEUROLLOSIS,POX,PPR,ZZ_OTHER,55.1,42.48,1.57,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
1074,0,11,D,Eddie,2/23/2019 0:00, SHEEP,FASCIOLOSIS,P,NP,NP,NP,NP,NP,NO,NP,NP,P,P,P,P,NP,NP,NP,P,P,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,FASCIOLOSIS,4,FASCIOLOSIS,FASCIOLOSIS,HAEMONCHOSIS,TRICHOSTRONGIULOSIS,MANGE MITE,LUNGWORM,COENUROSIS,CONTAGIOUS ECTHYMA (ORF),COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,NASAL BOT,PASTEUROLLOSIS,POX,PPR,ZZ_OTHER,51.45,46.42,1.86,0.15,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
3786,1,65,D,veteddie_eddie,11/26/2019 0:00, SHEEP,FASCIOLOSIS,NP,P,NP,P,NP,NP,NP,NP,NP,NP,NP,P,NP,NP,NP,NP,P,NP,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,FASCIOLOSIS,4,FASCIOLOSIS,FASCIOLOSIS,HAEMONCHOSIS,TRICHOSTRONGIULOSIS,CONTAGIOUS ECTHYMA (ORF),PASTEUROLLOSIS,LUNGWORM,MANGE MITE,HYPOCALCEMIA / PREGNANCY TOX.,COENUROSIS,POX,NASAL BOT,PPR,COWDRIOSIS,ZZ_OTHER,49.6647,25.0798,23.1848,1.28624,0.34777,0.196225,0.102249,0.0861143,0.0270553,0.0169239,0.00788156,0.000178868,1.37e-05,1.04e-10,99.99995163
1568,0,48,D,Eddie,5/3/2019 0:00, SHEEP,FASCIOLOSIS,P,NP,NP,NP,NP,NP,NP,NP,NP,P,P,P,P,NP,NP,NP,P,P,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,FASCIOLOSIS,4,FASCIOLOSIS,FASCIOLOSIS,HAEMONCHOSIS,TRICHOSTRONGIULOSIS,MANGE MITE,LUNGWORM,COENUROSIS,CONTAGIOUS ECTHYMA (ORF),COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,NASAL BOT,PASTEUROLLOSIS,POX,PPR,ZZ_OTHER,50.8,47.04,1.88,0.14,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
