CaseID,train_test,Group,Dup_Stat,OriginDBName,DateOfCaseObserved,Species,DiseaseChosenByUser,ANAEMIA / PALLOR (PALE MEMBRANES),ANOREXIA / (LOSS OF APPETITE),ATAIXA / INCORDINATION OF MOVEMENT,DIARRHOEA,DYSENTERY (BLOOD IN FAECES),DYSPNOEA / COUGHING (DIFFICULTY BREATHING),LYMPH NODE ENLARGEMENT,OCCULAR / NASAL DISCHARGE,PYREXIA / FEVER,STARING COAT (STANDING HAIR / ROUGH COAT),STUNTED GROWTH,WEAKNESS,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION),CONSTIPATION,DEHYDRATION,ICTERUS (YELLOWING OF MEMBRANES),SUBMANDIBULAR / VENTRAL OEDEMA,APATHY / DEPRESSION,ANAEMIA / PALLOR (PALE MEMBRANES)_Absent,ANAEMIA / PALLOR (PALE MEMBRANES)_Present,ANAEMIA / PALLOR (PALE MEMBRANES)_Unknown,ANOREXIA / (LOSS OF APPETITE)_Absent,ANOREXIA / (LOSS OF APPETITE)_Present,ANOREXIA / (LOSS OF APPETITE)_Unknown,ATAIXA / INCORDINATION OF MOVEMENT_Absent,ATAIXA / INCORDINATION OF MOVEMENT_Present,ATAIXA / INCORDINATION OF MOVEMENT_Unknown,DIARRHOEA_Absent,DIARRHOEA_Present,DIARRHOEA_Unknown,DYSENTERY (BLOOD IN FAECES)_Absent,DYSENTERY (BLOOD IN FAECES)_Present,DYSENTERY (BLOOD IN FAECES)_Unknown,DYSPNOEA / COUGHING (DIFFICULTY BREATHING)_Absent,DYSPNOEA / COUGHING (DIFFICULTY BREATHING)_Present,DYSPNOEA / COUGHING (DIFFICULTY BREATHING)_Unknown,LYMPH NODE ENLARGEMENT_Absent,LYMPH NODE ENLARGEMENT_Present,LYMPH NODE ENLARGEMENT_Unknown,OCCULAR / NASAL DISCHARGE_Absent,OCCULAR / NASAL DISCHARGE_Present,OCCULAR / NASAL DISCHARGE_Unknown,PYREXIA / FEVER_Absent,PYREXIA / FEVER_Present,PYREXIA / FEVER_Unknown,STARING COAT (STANDING HAIR / ROUGH COAT)_Absent,STARING COAT (STANDING HAIR / ROUGH COAT)_Present,STARING COAT (STANDING HAIR / ROUGH COAT)_Unknown,STUNTED GROWTH_Absent,STUNTED GROWTH_Present,STUNTED GROWTH_Unknown,WEAKNESS_Absent,WEAKNESS_Present,WEAKNESS_Unknown,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION)_Absent,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION)_Present,WEIGHT LOSS / EMACIATION (LOSS OF BODY CONDITION)_Unknown,CONSTIPATION_Absent,CONSTIPATION_Present,CONSTIPATION_Unknown,DEHYDRATION_Absent,DEHYDRATION_Present,DEHYDRATION_Unknown,ICTERUS (YELLOWING OF MEMBRANES)_Absent,ICTERUS (YELLOWING OF MEMBRANES)_Present,ICTERUS (YELLOWING OF MEMBRANES)_Unknown,SUBMANDIBULAR / VENTRAL OEDEMA_Absent,SUBMANDIBULAR / VENTRAL OEDEMA_Present,SUBMANDIBULAR / VENTRAL OEDEMA_Unknown,APATHY / DEPRESSION_Absent,APATHY / DEPRESSION_Present,APATHY / DEPRESSION_Unknown,DiseaseChosenByUser.1,Target_Num,Target_Name,Disease_1,Disease_2,Disease_3,Disease_4,Disease_5,Disease_6,Disease_7,Disease_8,Disease_9,Disease_10,Disease_11,Disease_12,Disease_13,Disease_14,Disease_1.1,Disease_2.1,Disease_3.1,Disease_4.1,Disease_5.1,Disease_6.1,Disease_7.1,Disease_8.1,Disease_9.1,Disease_10.1,Disease_11.1,Disease_12.1,Disease_13.1,Disease_14.1,sum_prob
241,0,53,M,Eddie,1/15/2019 0:00, SHEEP,COENUROSIS,NP,P,P,NP,NP,NP,NP,NP,NP,NP,NP,P,NP,NP,NP,NP,NP,P,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,COENUROSIS,1,COENUROSIS,HYPOCALCEMIA / PREGNANCY TOX.,COENUROSIS,COWDRIOSIS,CONTAGIOUS ECTHYMA (ORF),LUNGWORM,PASTEUROLLOSIS,TRICHOSTRONGIULOSIS,FASCIOLOSIS,HAEMONCHOSIS,MANGE MITE,NASAL BOT,POX,PPR,ZZ_OTHER,87.56,12.36,0.03,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
183,0,0,U,Eddie,12/31/2018 0:00, SHEEP,COENUROSIS,NP,NP,P,NP,NP,NP,NP,NP,NP,P,NP,P,P,NP,NP,NP,NP,P,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,COENUROSIS,1,COENUROSIS,COENUROSIS,MANGE MITE,HYPOCALCEMIA / PREGNANCY TOX.,TRICHOSTRONGIULOSIS,FASCIOLOSIS,LUNGWORM,HAEMONCHOSIS,COWDRIOSIS,PASTEUROLLOSIS,POX,CONTAGIOUS ECTHYMA (ORF),NASAL BOT,PPR,ZZ_OTHER,84.8,12.53,0.82,0.6,0.53,0.34,0.14,0.11,0.08,0.02,0.01,0.0,0.0,0.0,99.98
1263,0,0,U,Eddie,3/26/2019 0:00, SHEEP,COENUROSIS,NP,NP,P,NP,NP,NP,NP,P,NP,NP,NP,NP,NP,NP,NP,NP,NP,P,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,COENUROSIS,1,COENUROSIS,COENUROSIS,NASAL BOT,CONTAGIOUS ECTHYMA (ORF),LUNGWORM,COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,POX,PASTEUROLLOSIS,MANGE MITE,TRICHOSTRONGIULOSIS,FASCIOLOSIS,HAEMONCHOSIS,PPR,ZZ_OTHER,66.52,31.24,1.09,0.62,0.21,0.14,0.08,0.07,0.01,0.01,0.0,0.0,0.0,0.0,99.99
2803,0,120,M,veteddie_eddie,2/12/2020 0:00, SHEEP,CONTAGIOUS ECTHYMA (ORF),NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,NP,P,NP,NP,NP,NP,NP,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,CONTAGIOUS ECTHYMA (ORF),2,CONTAGIOUS ECTHYMA (ORF),CONTAGIOUS ECTHYMA (ORF),MANGE MITE,TRICHOSTRONGIULOSIS,COENUROSIS,NASAL BOT,HAEMONCHOSIS,LUNGWORM,FASCIOLOSIS,POX,PASTEUROLLOSIS,HYPOCALCEMIA / PREGNANCY TOX.,COWDRIOSIS,PPR,ZZ_OTHER,68.169,17.9742,4.32074,3.54188,3.0458,1.96295,0.656651,0.286626,0.0257915,0.0154301,0.00082166,7.9e-05,1.64e-06,1.77e-15,99.9999709
1290,0,0,U,Eddie,3/6/2019 0:00, SHEEP,CONTAGIOUS ECTHYMA (ORF),NP,NP,P,NP,NP,NP,NP,NP,P,NP,NP,NP,NP,NP,NP,NP,NP,NP,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,CONTAGIOUS ECTHYMA (ORF),2,CONTAGIOUS ECTHYMA (ORF),CONTAGIOUS ECTHYMA (ORF),COENUROSIS,COWDRIOSIS,MANGE MITE,NASAL BOT,POX,PASTEUROLLOSIS,LUNGWORM,HAEMONCHOSIS,TRICHOSTRONGIULOSIS,HYPOCALCEMIA / PREGNANCY TOX.,FASCIOLOSIS,PPR,ZZ_OTHER,52.48,29.72,17.0,0.18,0.16,0.14,0.12,0.09,0.04,0.04,0.03,0.0,0.0,0.0,100.0
1281,0,0,U,Eddie,3/21/2019 0:00, SHEEP,COWDRIOSIS,P,NO,NO,NP,NO,NO,NO,NO,P,NO,NO,NO,NP,NO,NO,NO,NO,P,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,COWDRIOSIS,3,COWDRIOSIS,POX,COWDRIOSIS,PASTEUROLLOSIS,LUNGWORM,ZZ_OTHER,HAEMONCHOSIS,FASCIOLOSIS,HYPOCALCEMIA / PREGNANCY TOX.,PPR,CONTAGIOUS ECTHYMA (ORF),TRICHOSTRONGIULOSIS,COENUROSIS,NASAL BOT,MANGE MITE,39.2,33.76,8.27,8.12,6.37,2.01,0.74,0.36,0.28,0.26,0.23,0.22,0.15,0.02,99.99
854,0,3,D,Eddie,2/11/2019 0:00, SHEEP,FASCIOLOSIS,P,P,NO,NO,NO,P,NO,NP,NP,P,NO,P,P,NO,NO,NO,P,P,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,FASCIOLOSIS,4,FASCIOLOSIS,FASCIOLOSIS,LUNGWORM,TRICHOSTRONGIULOSIS,HAEMONCHOSIS,ZZ_OTHER,PASTEUROLLOSIS,POX,PPR,HYPOCALCEMIA / PREGNANCY TOX.,MANGE MITE,COENUROSIS,CONTAGIOUS ECTHYMA (ORF),COWDRIOSIS,NASAL BOT,58.95,15.8,11.37,9.64,3.05,0.9,0.16,0.07,0.05,0.01,0.0,0.0,0.0,0.0,100.0
1001,0,11,D,Eddie,2/20/2019 0:00, SHEEP,FASCIOLOSIS,P,NP,NP,NP,NP,NP,NO,NP,NP,P,P,P,P,NP,NP,NP,P,P,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,FASCIOLOSIS,4,FASCIOLOSIS,FASCIOLOSIS,HAEMONCHOSIS,TRICHOSTRONGIULOSIS,MANGE MITE,LUNGWORM,COENUROSIS,CONTAGIOUS ECTHYMA (ORF),COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,NASAL BOT,PASTEUROLLOSIS,POX,PPR,ZZ_OTHER,51.45,46.42,1.86,0.15,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
659,0,20,D,Eddie,2/2/2019 0:00, SHEEP,FASCIOLOSIS,P,P,NP,P,NP,NP,NP,NP,NP,P,P,P,P,NP,NP,NP,P,P,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,FASCIOLOSIS,4,FASCIOLOSIS,FASCIOLOSIS,HAEMONCHOSIS,TRICHOSTRONGIULOSIS,LUNGWORM,COENUROSIS,CONTAGIOUS ECTHYMA (ORF),COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,MANGE MITE,NASAL BOT,PASTEUROLLOSIS,POX,PPR,ZZ_OTHER,80.56,14.13,5.31,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
1569,0,48,D,Eddie,5/3/2019 0:00, SHEEP,FASCIOLOSIS,P,NP,NP,NP,NP,NP,NP,NP,NP,P,P,P,P,NP,NP,NP,P,P,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,FASCIOLOSIS,4,FASCIOLOSIS,FASCIOLOSIS,HAEMONCHOSIS,TRICHOSTRONGIULOSIS,MANGE MITE,LUNGWORM,COENUROSIS,CONTAGIOUS ECTHYMA (ORF),COWDRIOSIS,HYPOCALCEMIA / PREGNANCY TOX.,NASAL BOT,PASTEUROLLOSIS,POX,PPR,ZZ_OTHER,50.8,47.04,1.88,0.14,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
